Total $\rho$,Scenario,Regret
0,Optimal Sample,69.51949016102924
0,Uniform Sample,20.78378951530895
0,Optimal Sample,53.872540452056214
0,Uniform Sample,137.84470042248822
0,Optimal Sample,30.472249563947575
0,Uniform Sample,630.3353426816744
0,Optimal Sample,68.10779236621536
0,Uniform Sample,224.9577606775108
0,Optimal Sample,114.24939561712871
0,Uniform Sample,244.4154611403562
0,Optimal Sample,51.570064674604204
0,Uniform Sample,189.86650754032746
0,Optimal Sample,24.086086756515506
0,Uniform Sample,226.0135222931184
0,Optimal Sample,65.28830311077203
0,Uniform Sample,245.90077344115824
0,Optimal Sample,69.98602665102915
0,Uniform Sample,441.023285713271
0,Optimal Sample,66.71800955334322
0,Uniform Sample,71.18154001311626
0,Optimal Sample,62.868919405188834
0,Uniform Sample,107.99698382719386
0,Optimal Sample,234.5394819818865
0,Uniform Sample,316.7469746383702
0,Optimal Sample,51.304266486595395
0,Uniform Sample,210.90950244718354
0,Optimal Sample,86.21840084903994
0,Uniform Sample,207.6501177434011
0,Optimal Sample,65.21269257445279
0,Uniform Sample,251.87948807752608
0,Optimal Sample,143.68549443166802
0,Uniform Sample,249.71053168601608
0,Optimal Sample,78.69441338527012
0,Uniform Sample,474.48144139967667
0,Optimal Sample,141.45325618753245
0,Uniform Sample,163.19180479801486
0,Optimal Sample,96.77873461327432
0,Uniform Sample,89.58530749405983
0,Optimal Sample,48.83609547972735
0,Uniform Sample,76.876278942313
0,Optimal Sample,134.47861771824796
0,Uniform Sample,111.7159049816351
0,Optimal Sample,66.27616603333658
0,Uniform Sample,408.5126700971882
0,Optimal Sample,36.92169958410236
0,Uniform Sample,229.7402000223989
0,Optimal Sample,78.71236607203987
0,Uniform Sample,79.88679984195338
0,Optimal Sample,22.496573570923044
0,Uniform Sample,44.295479755436524
0,Optimal Sample,262.6299174432097
0,Uniform Sample,100.6578142594716
0,Optimal Sample,84.05793636953673
0,Uniform Sample,65.27943471122576
0,Optimal Sample,211.52217790136103
0,Uniform Sample,142.12829408844627
0,Optimal Sample,75.99410405844614
0,Uniform Sample,148.29123099823383
0,Optimal Sample,107.88056311006433
0,Uniform Sample,292.1029283499756
0,Optimal Sample,87.3706196240335
0,Uniform Sample,260.37169160264693
0,Optimal Sample,61.13125159304835
0,Uniform Sample,288.96160670325656
0,Optimal Sample,29.837366291381528
0,Uniform Sample,218.21561139914365
0,Optimal Sample,53.14284056442931
0,Uniform Sample,55.642525537432014
0,Optimal Sample,48.93151202958766
0,Uniform Sample,473.49713528085675
0,Optimal Sample,77.43793728964545
0,Uniform Sample,966.1569778511468
0,Optimal Sample,75.57907146056921
0,Uniform Sample,131.79451388174428
0,Optimal Sample,67.97762846571524
0,Uniform Sample,247.601570301808
0,Optimal Sample,155.2144929573539
0,Uniform Sample,135.52305673624232
0,Optimal Sample,80.70250427584641
0,Uniform Sample,170.25255283474746
0,Optimal Sample,192.1677595196138
0,Uniform Sample,388.68350253050545
0,Optimal Sample,67.82343885660322
0,Uniform Sample,108.9363890998451
0,Optimal Sample,55.58097024370514
0,Uniform Sample,311.43607815611296
0,Optimal Sample,24.973094969884674
0,Uniform Sample,148.03606198678344
0,Optimal Sample,39.330205639334125
0,Uniform Sample,201.2498141457601
